ID,Gender,Marital Status,Age,City,State,Zip,Email Domain,Total Given,Total Number of Gifts,Average Gift Amount,Largest Gift Amount,Smallest gift Amount,Total unsolicited gifts,Total Event Participations,Total Meetings or Phone Calls,First Appeal Date,Is Org Contact?,First Gift Date,First Gift Amount,Second Gift Date,Second Gift Amount
Trib113,Female,,,Minneapolis,MN,55419,,$50.00,1,$50.00,$50.00,$50.00,0,0,0,,,7/9/2012,$50.00,,
295,Unknown,Married,66,Saint Paul,MN,55101,comcast.net,$91.33,3,$30.44,$31.33,$30.00,0,1,0,3/9/2012,,12/21/2011,$30.00,12/2/2012,$31.33
4280,Female,Single,,Minneapolis,MN,55436-2339,,$175.00,2,$87.50,$150.00,$25.00,1,0,0,11/16/2011,,8/1/2011,$150.00,6/30/2012,$25.00
10204257,Unknown,,,Victoria,MN,55386-9559,mchsi.com,$55.00,2,$27.50,$30.00,$25.00,0,0,0,,,10/24/2012,$25.00,9/25/2013,$30.00
5932,Female,Married,55,Eagan,MN,55122-1223,,$10.00,1,$10.00,$10.00,$10.00,0,0,0,11/12/2012,No,7/17/2012,$10.00,,
10197635,Unknown,,63,Saint Paul,MN,55116-2810,aol.com,"$4,000.00",4,"$1,000.00","$1,000.00","$1,000.00",0,0,5,11/15/2012,No,12/27/2011,"$1,000.00",12/31/2012,"$1,000.00"
10197712,Female,,66,Saint Paul,MN,55103-1009,comcast.net,$450.00,5,$90.00,$100.00,$50.00,0,0,0,4/11/2011,,12/15/2011,$100.00,12/1/2013,$50.00
9660,Unknown,Married,51,Saint Paul,MN,55110-4330,,$100.00,1,$100.00,$100.00,$100.00,0,0,0,,,7/12/2013,$100.00,,
10167348,Unknown,,,Minneapolis,MN,55401-2175,gmail.com,"$1,750.00",4,$437.50,$500.00,$250.00,0,2,1,,,5/31/2013,$500.00,11/25/2013,$250.00
10092475,Unknown,,68,Shoreview,MN,55126-2335,gmail.com,$400.00,3,$133.33,$250.00,$50.00,0,3,1,,,12/14/2012,$100.00,12/27/2013,$250.00
10142099,Female,,,Saint Paul,MN,55114,tlcminnesota.org,$400.00,1,$400.00,$400.00,$400.00,0,1,0,11/16/2011,,12/15/2011,$400.00,,
15504,Female,,,Apple Valley,MN,55124-7998,,$25.00,1,$25.00,$25.00,$25.00,0,0,0,,No,12/31/2012,$25.00,,
10167418,Female,,,Burnsville,MN,55306,,$100.00,2,$50.00,$50.00,$50.00,0,0,1,,,6/21/2013,$50.00,6/30/2014,$50.00
17139,Male,Married,,Richfield,MN,55423-4447,,$45.00,2,$22.50,$25.00,$20.00,0,0,0,9/9/2011,,4/6/2011,$25.00,12/31/2013,$20.00
10197714,Female,,,Minneapolis,MN,55410-1257,,$400.00,2,$200.00,$200.00,$200.00,0,0,0,3/9/2012,,12/29/2011,$200.00,12/31/2014,$200.00
10138688,Unknown,,59,Eden Prairie,MN,55347,yahoo.com,$280.00,5,$56.00,$150.00,$10.00,0,1,2,,,12/14/2012,$10.00,12/14/2012,$10.00
21981,Male,,,Saint Paul,MN,55105-1045,,$50.00,1,$50.00,$50.00,$50.00,1,0,0,,No,12/29/2011,$50.00,,
10167335,Unknown,,78,North Oaks,MN,55127-6164,,$250.00,2,$125.00,$200.00,$50.00,0,2,0,,,5/30/2013,$50.00,7/3/2014,$200.00
10197716,Unknown,Married,78,Lindstrom,MN,55045-8343,hotmail.com,$100.00,5,$20.00,$20.00,$20.00,0,0,0,4/11/2011,No,5/10/2012,$20.00,2/27/2013,$20.00
28502,Male,Married,,Marine St Crx,MN,55047-8721,,$35.00,1,$35.00,$35.00,$35.00,0,0,0,,,12/19/2012,$35.00,,
10165336,Female,Widowed,,Minneapolis,MN,55421-4400,,$210.00,1,$210.00,$210.00,$210.00,0,0,0,,,2/15/2013,$210.00,,
10141384,Unknown,,,New Brighton,MN,55112-5239,,$425.00,1,$425.00,$425.00,$425.00,0,0,0,,,5/19/2011,$425.00,,
10002589,Female,Married,,Saint Paul,MN,55118-1836,stthomas.edu,$275.00,4,$68.75,$100.00,$25.00,0,0,0,11/16/2011,No,8/16/2011,$25.00,8/19/2013,$100.00
10002626,Male,,,Naperville,IL,60563-2672,umn.edu,$10.00,1,$10.00,$10.00,$10.00,0,0,0,,,12/15/2011,$10.00,,
10201292,Unknown,,,Stillwater,MN,55082-6712,,$50.00,2,$25.00,$25.00,$25.00,0,0,0,4/11/2011,,1/27/2011,$25.00,12/31/2015,$25.00
10077606,Female,,66,Minneapolis,MN,55419-5658,aol.com,$100.00,1,$100.00,$100.00,$100.00,0,0,1,,No,12/31/2012,$100.00,,
10008513,Unknown,,69,Saint Paul,MN,55108-1609,gmail.com,$310.00,19,$16.32,$50.00,$10.00,0,0,0,3/9/2012,Yes,12/15/2011,$50.00,1/31/2015,$15.00
10011462,Unknown,,55,St. Paul,MN,55104,comcast.net,"$2,770.00",5,$554.00,"$1,020.00",$250.00,0,1,0,3/9/2012,,12/15/2011,$250.00,12/1/2013,$500.00
10204431,Unknown,,,Saint Paul,MN,55117-2498,,$90.00,3,$30.00,$30.00,$30.00,1,0,0,9/9/2011,,6/10/2011,$30.00,5/14/2012,$30.00
10197649,Female,,58,Eagan,MN,55123,aol.com,$156.11,5,$31.22,$50.00,$25.00,0,0,0,,No,12/29/2011,$50.00,12/31/2012,$26.11
10197652,Unknown,,60,Maple Grove,MN,55311,,$205.00,3,$68.33,$100.00,$40.00,0,2,0,,No,8/5/2013,$40.00,8/4/2014,$100.00
10018977,Male,,,Minneapolis,MN,55417,,$500.00,1,$500.00,$500.00,$500.00,0,1,0,,,4/21/2012,$500.00,,
10167350,Female,,,Saint Paul,MN,55118-3739,,$250.00,1,$250.00,$250.00,$250.00,0,1,0,,Yes,5/31/2013,$250.00,,
10204252,Unknown,,,Minneapolis,MN,55407-2131,comcast.net,$200.00,2,$100.00,$100.00,$100.00,0,0,0,11/16/2011,,8/18/2011,$100.00,12/31/2013,$100.00
10197614,Unknown,,62,Champlin,MN,55316-3147,sjtw.net,$700.00,3,$233.33,$300.00,$200.00,0,0,0,,Yes,6/21/2013,$300.00,6/4/2014,$200.00
10150361,Unknown,,,Richfield,MN,55423,,"$1,377.00",2,$688.50,"$1,352.00",$25.00,1,0,0,11/15/2012,,10/19/2011,"$1,352.00",12/2/2013,$25.00
10028499,Male,,70,Eagan,MN,55122-3511,comcast.net,"$5,020.00",10,$502.00,"$1,200.00",$70.00,0,4,0,,No,4/21/2012,$100.00,4/21/2012,$70.00
